교육청,소재구,학교명,홈페이지 주소,설립,우편번호,주소,전화번호,1학년 학급수,2학년 학급수,3학년 학급수,4학년 학급수,5학년 학급수,6학년 학급수,복식 학급수,특수 학급수,1학년 학생수 계,1학년 여학생 수,2학년 학생수 계,2학년 여학생 수,3학년 학생수 계,3학년 여학생 수,4학년 학생수 계,4학년 여학생 수,5학년 학생수 계,5학년 여학생 수,6학년 학생수 계,6학년 여학생 수,복식 학급 학생수 계,복식 학급 여학생수,특수 학급 학생수 계,특수 학급 여학생수,학급당 평균 학생수,교원수 계,여교원수 계,정규 교원수 계,정규 여교원수,기간제 교원수 계,기간제 여교원수,직원수,여직원수,보통 교실 수,비고
동부,동대문구,서울홍릉초등학교,http://www.hongneung.es.kr,공립,130-868,서울특별시 동대문구 회기로 90 (청량리동서울홍릉초등학교),02-968-4701,4,3,3,4,4,4,0,1,90,37,72,35,79,37,100,47,95,48,80,42,0,0,3,0,22.6,38,34,37,33,1,1,4,3,22,
동부,동대문구,서울홍파초등학교,http://www.hongpa.es.kr,공립,130-863,서울특별시 동대문구 고산자로 518 (제기동서울홍파초등학교),02-967-8161,4,3,4,3,4,4,0,2,82,39,71,39,80,41,76,38,93,35,77,41,0,0,13,5,20.5,39,33,39,33,0,0,7,6,24,
동부,동대문구,서울휘경초등학교,http://www.hwykyung.es.kr/doum/index.jsp,공립,130-090,서울특별시 동대문구 망우로6길 48 (휘경동서울휘경초등학교),02-2244-4941,4,3,3,4,4,5,0,2,77,35,72,35,75,31,77,35,89,43,107,59,0,0,9,2,20.2,43,32,43,32,0,0,5,3,23,
동부,동대문구,서울휘봉초등학교,www.hwibong.es.kr,공립,130-874,서울특별시 동대문구 장안벚꽃로 309 (휘경동서울휘봉초등학교),02-2248-4649,6,6,6,6,7,6,0,1,127,64,158,79,142,70,146,73,166,78,152,70,0,0,5,0,23.6,55,48,54,47,1,1,5,3,41,
동부,동대문구,경희초등학교,http://www.kyunghee.es.kr,사립,130-701,서울특별시 동대문구 경희대로 26 경희대학교 병설 경희초등학교,02-962-4300,4,4,4,4,4,4,0,0,136,68,132,63,126,63,118,54,106,49,91,42,0,0,0,0,29.5,31,17,25,14,6,3,11,6,24,
동부,중랑구,금성초등학교,http://www.kumsung.net,사립,131-872,서울특별시 중랑구 신내로21길 55 (신내동금성초등학교),02-3421-0500,4,4,4,3,3,3,0,0,120,55,116,55,109,57,93,48,78,32,85,43,0,0,0,0,28.6,29,15,28,14,1,1,10,1,26,
동부,동대문구,서울삼육초등학교,http://www.seoul36.es.kr,사립,130-050,서울특별시 동대문구 회기로 10길 63,02-960-7262,4,4,4,4,4,4,0,0,136,67,127,66,118,56,115,54,122,55,113,51,0,0,0,0,30.5,28,21,26,21,2,0,7,3,24,
동부,동대문구,은석초등학교,http://www.eunseok.seoul.kr,사립,130-839,서울특별시 동대문구 장안벚꽃로  205,02-6937-8180,4,4,4,4,4,4,0,0,137,65,136,71,134,61,123,59,122,60,104,55,0,0,0,0,31.5,32,18,28,16,4,2,10,4,24,
서부,은평구,서울갈현초등학교,http://www.galhyun.es.kr,공립,122-959,서울특별시 은평구 연서로29길 31 (갈현동갈현초등학교),02-355-0835,10,9,9,10,11,12,0,0,236,122,224,104,215,97,272,134,292,140,311,145,0,0,0,0,25.4,95,86,93,84,2,2,8,5,61,
서부,서대문구,서울고은초등학교,http://www.goeun.es.kr,공립,120-859,서울 서대문구 모래내로 441 (홍제동서울고은초등학교),02-396-2652,4,4,4,4,5,4,0,2,91,57,86,53,80,45,90,52,119,58,103,49,0,0,12,5,21.5,44,37,42,35,2,2,6,4,27,
서부,마포구,서울공덕초등학교,http://www.kongduck.es.kr,공립,121-803,서울 마포구 만리재옛길 13  공덕초등학교 (공덕동공덕초등학교),02-703-6069,6,5,5,6,5,5,0,2,165,86,124,66,122,65,138,60,134,66,123,73,0,0,6,4,23.9,54,49,53,48,1,1,6,4,34,
서부,은평구,서울구산초등학교,http://sgusan.es.kr,공립,122-821,서울 은평구 서오릉로15길 16 (구산동서울구산초등학교),02-387-7487,7,7,7,7,8,8,0,2,192,85,173,87,168,76,173,85,186,83,202,91,0,0,15,5,24.1,73,65,72,64,1,1,6,2,46,
서부,은평구,서울구현초등학교,http://guhyun.es.kr,공립,122-946,서울특별시 은평구 갈현로15길 51 (구산동구현초등학교),02-352-5518,5,5,5,4,5,4,0,2,133,68,112,57,123,66,111,53,129,58,104,47,0,0,16,9,24.3,40,34,40,34,0,0,4,2,30,
서부,서대문구,서울금화초등학교,http://www.geumhwa.es.kr,공립,120-040,서울특별시 서대문구 통일로 165 (천연동서울금화초등학교),02-364-9264,5,4,4,4,3,3,0,2,125,60,96,51,94,46,100,45,78,44,78,36,0,0,12,6,23.3,46,40,43,37,3,3,5,3,25,
서부,은평구,서울녹번초등학교,http://www.nokbun.es.kr,공립,122-834,서울 은평구 녹번로1길 1  서울녹번초등학교 (녹번동녹번초등학교),02-386-0753,7,6,7,7,8,8,0,0,180,90,141,73,170,69,182,89,185,89,187,89,0,0,0,0,24.3,63,54,63,54,0,0,5,2,43,
서부,서대문구,서울대신초등학교,http://www.sds.es.kr,공립,120-808,서울 서대문구 이화여대2길 27 (대현동대신초등학교),02-363-1994,2,2,2,2,2,2,0,1,52,30,32,21,40,22,44,24,44,27,45,21,0,0,3,1,20,26,22,25,22,1,0,6,3,13,
서부,은평구,서울대은초등학교,www.daeeun.es.kr,공립,122-947,서울 은평구 통일로69길 12-15  대은초등학교 (대조동대은초등학교),02-388-0833,4,4,3,3,4,4,0,0,90,48,79,39,68,42,66,36,84,47,85,47,0,0,0,0,21.5,37,32,37,32,0,0,5,3,22,
서부,은평구,서울대조초등학교,http://www.daejo.es.kr,공립,122-838,서울특별시 은평구 연서로18길 17 (대조동대조초등학교),02-355-3784,7,7,6,8,8,9,0,2,182,85,177,99,148,72,197,104,199,99,211,105,0,0,16,6,24,73,64,71,62,2,2,6,2,48,
서부,마포구,서울동교초등학교,http://www.donggyo.es.kr,공립,121-825,서울특별시 마포구 월드컵로25길 86 (망원동동교초등학교),02-324-5091,9,8,8,9,9,9,0,0,245,131,212,107,197,91,237,115,229,119,222,115,0,0,0,0,25.8,83,72,79,69,4,3,4,2,52,
서부,마포구,서울마포초등학교,http://mapo.es.kr,공립,121-813,서울특별시 마포구 도화2길 64 (도화동서울마포초등학교),02-712-0852,7,6,6,7,7,6,0,2,182,78,154,66,138,56,169,77,163,83,146,77,0,0,10,2,23.5,68,62,67,61,1,1,8,2,41,
서부,마포구,서울망원초등학교,http://mangwon.es.kr,공립,121-826,서울 마포구 방울내로5길 28 (망원동망원초등학교),02-334-5188,3,3,3,3,3,3,0,0,64,36,70,34,53,33,53,26,69,30,63,27,0,0,0,0,20.7,33,29,31,27,2,2,5,1,18,
서부,서대문구,서울미동초등학교,http://www.smidong.es.kr,공립,120-020,서울특별시 서대문구 충정로 52 (미근동서울미동초등학교),02-364-6524,4,4,5,5,5,4,0,1,98,44,105,45,109,58,117,62,123,60,99,55,0,0,6,1,23.5,47,42,47,42,0,0,5,3,28,
서부,서대문구,서울북가좌초등학교,http://www.bukgajwa.es.kr,공립,120-811,서울특별시 서대문구 거북골로19길 20 (북가좌동서울북가좌초등학교),02-372-4024,10,11,9,10,10,8,0,2,259,117,267,142,224,122,248,131,260,134,212,107,0,0,10,4,24.7,89,81,88,80,1,1,7,3,60,
서부,서대문구,서울북성초등학교,www.seoulbuksung.es.kr,공립,120-821,서울특별시 서대문구 북아현로5나길 84 (북아현동북성초등학교),02-362-0669,3,2,2,3,4,3,0,1,59,34,54,29,36,20,54,29,83,47,72,32,0,0,4,2,20.1,37,33,36,33,1,0,5,3,33,
서부,은평구,서울북한산초등학교,http://bukhansan.es.kr,공립,122-736,서울 은평구 대서문길 42-3 (진관동북한산초등학교),02-359-9824,1,1,1,1,2,1,0,1,23,9,23,11,17,9,22,13,23,8,17,6,0,0,3,1,16,16,12,16,12,0,0,5,2,8,
서부,은평구,서울불광초등학교,http://www.bulgwang.es.kr,공립,122-858,서울특별시 은평구 불광로 51 서울불광초등학교 (불광동불광초등학교),02-355-1979,7,6,7,8,7,8,0,2,178,84,154,71,169,95,192,93,174,81,198,90,0,0,8,3,23.8,72,62,71,61,1,1,6,2,45,
서부,은평구,서울상신초등학교,http://www.sangsin.es.kr,공립,122-888,서울특별시 은평구 가좌로 361 (신사동상신초등학교),02-303-4245,5,5,5,5,5,6,0,2,120,62,128,60,113,56,111,48,124,70,149,62,0,0,8,3,22.8,47,42,47,42,0,0,5,3,33,
서부,마포구,서울상암초등학교,http://www.sangam.es.kr,공립,121-831,서울특별시 마포구 월드컵북로 353 (상암동상암초등학교),02-375-8891,6,6,5,6,6,5,0,2,150,79,145,70,125,64,141,70,155,70,129,67,0,0,13,2,23.8,53,50,51,48,2,2,5,3,42,
서부,마포구,서울상지초등학교,http://www.seoulsangji.es.kr,공립,121-904,서울특별시 마포구 월드컵로42길 30 (상암동상지초등학교),02-303-9009,6,6,6,6,6,6,0,2,152,71,153,67,142,60,162,81,162,84,134,60,0,0,8,3,24,61,52,61,52,0,0,5,3,36,
서부,마포구,서울서강초등학교,http://www.sogang.es.kr,공립,121-828,서울특별시 마포구 독막로 113 (상수동서강초등학교),02-334-2410,7,7,6,7,8,7,0,2,181,88,169,79,143,78,160,82,209,98,164,80,0,0,11,4,23.6,69,63,68,62,1,1,5,2,44,
서부,마포구,서울서교초등학교,http://www.seokyo.es.kr,공립,121-837,서울특별시 마포구 와우산로23길 20-27  (서교동),02-338-9029,7,6,7,7,8,7,0,0,163,81,140,76,161,90,173,77,199,89,180,89,0,0,0,0,24.2,73,62,72,61,1,1,5,3,42,
서부,은평구,서울서신초등학교,http://susin.es.kr,공립,122-887,서울 은평구 은평터널로 150  서울서신초등학교  (신사동),02-3152-0702,5,5,5,5,5,6,0,2,130,62,130,58,118,58,119,57,127,53,138,69,0,0,5,1,23.2,45,38,45,38,0,0,5,2,33,
서부,마포구,서울성산초등학교,http://www.ssc.es.kr,공립,121-887,서울특별시 마포구 양화로3길 94 (합정동서울성산초등학교),02-334-1951,7,6,7,6,7,7,0,2,174,98,155,69,159,78,144,83,176,83,167,84,0,0,20,8,23.7,71,67,70,66,1,1,5,2,43,
서부,마포구,서울성서초등학교,http://www.sseo.es.kr,공립,121-846,서울특별시 마포구 성미산로7길 24 (성산동성서초등학교),02-3141-9544,6,5,5,6,6,5,0,1,146,63,123,67,121,79,135,70,152,68,126,63,0,0,11,4,23.9,50,47,50,47,0,0,5,4,34,
서부,마포구,서울성원초등학교,http://www.sungwon.es.kr,공립,121-845,서울특별시 마포구 월드컵로36길 34 (성산동성원초등학교),02-305-7201,6,5,5,5,6,5,0,0,148,70,110,52,108,56,133,73,142,59,122,62,0,0,0,0,23.8,50,45,50,45,0,0,4,3,32,
서부,마포구,서울소의초등학교,http://www.soeui.es.kr,공립,121-860,서울특별시 마포구 마포대로24길 42 (아현동소의초등학교),02-362-6571,4,4,3,4,4,4,0,2,90,44,102,56,74,38,91,50,101,49,95,41,0,0,4,0,22.3,47,37,43,36,4,1,5,3,25,
서부,은평구,서울수리초등학교,http://www.suri.es.kr,공립,122-837,서울특별시 은평구 불광로  14길 10-10,02-353-9400,5,5,4,3,4,3,0,1,118,47,101,41,89,34,71,38,78,36,67,34,0,0,5,0,21.2,38,35,36,33,2,2,5,2,24,
서부,은평구,서울수색초등학교,http://www.susaek.es.kr,공립,122-874,서울특별시 은평구 수색로16길 21  서울수색초등학교 (수색동수색초등학교),02-372-8286,4,5,4,4,5,6,0,2,96,43,105,55,74,39,91,43,110,51,112,54,0,0,16,3,20.1,48,43,48,43,0,0,5,2,30,
서부,은평구,서울신도초등학교,http://www.sindo.es.kr,공립,122-200,서울특별시 은평구 진관1로 77-23 (진관동신도초등학교),02-356-9695,9,7,6,7,6,5,0,1,252,131,197,94,158,81,203,102,173,68,141,81,0,0,5,1,27.5,58,51,58,51,0,0,6,5,41,
서부,마포구,서울신북초등학교,http://www.sinbuk.es.kr,공립,121-877,서울특별시 마포구 월드컵북로38길 26 (중동신북초등학교),02-303-6884,7,7,6,6,7,7,0,2,211,101,209,106,173,75,197,107,203,84,187,82,0,0,7,2,28.3,65,57,64,56,1,1,4,3,42,
서부,은평구,서울신사초등학교,http://www.shinsa.es.kr,공립,122-884,서울특별시 은평구 가좌로 275-2 (신사동신사초등학교),02-373-9356,4,3,4,4,4,4,0,2,92,42,77,33,88,45,83,47,106,54,110,44,0,0,10,3,22.6,49,41,46,38,3,3,5,3,32,
서부,마포구,서울신석초등학교,http://sinseok.es.kr,공립,121-856,서울 마포구 대흥로 33  서울신석초등학교 (신수동신석초등학교),02-715-3669,7,5,6,5,6,5,0,2,157,70,112,58,134,62,123,60,142,71,126,63,0,0,10,2,22.3,55,49,54,48,1,1,6,3,36,
서부,마포구,서울아현초등학교,http://ahyun.es.kr,공립,121-859,서울특별시 마포구 굴레방로 6 (아현동서울아현초등학교),02-313-5845,3,3,3,2,3,3,0,1,63,36,53,15,62,32,51,27,68,28,69,34,0,0,5,1,20.6,34,29,33,28,1,1,6,3,20,
남부,영등포구,서울대방초등학교,www.sdaebang.es.kr,공립,150-856,서울특별시 영등포구 여의대방로35길 14 (신길동대방초등학교),02-833-0083,3,3,3,3,4,4,0,3,77,27,57,28,60,28,69,36,87,31,95,33,0,0,10,2,19.8,36,31,36,31,0,0,4,2,23,
남부,영등포구,서울대영초등학교,http://www.daeyoung.es.kr,공립,150-841,서울특별시 영등포구 신길로23길 43 (신길동대영초등학교),02-846-1996,5,5,4,4,5,4,0,2,112,47,113,59,102,43,109,45,109,41,94,35,0,0,14,1,22.5,50,44,49,43,1,1,5,3,29,
남부,구로구,서울덕의초등학교,http://www.dukeui.es.kr,공립,152-832,서울특별시 구로구 고척로 213 (고척동덕의초등학교),02-2685-0928,7,7,7,7,6,6,0,0,219,126,196,100,199,90,203,94,175,89,170,83,0,0,0,0,29.1,65,61,64,60,1,1,4,2,40,
남부,영등포구,서울도림초등학교,seouldorim.es.kr,공립,150-841,서울특별시 영등포구 가마산로65길 22  서울도림초등학교 (신길동),02-832-0590,5,5,5,5,6,6,0,2,123,61,106,47,119,61,117,55,139,71,146,60,0,0,13,4,22.4,54,47,52,46,2,1,6,2,34,
남부,영등포구,서울도신초등학교,http://www.doshin.es.kr,공립,150-815,서울특별시 영등포구 도림로53길 32-9 (대림동도신초등학교),02-835-1501,5,4,4,4,4,5,0,2,113,58,107,41,86,37,95,44,97,37,107,43,0,0,7,3,21.9,49,46,47,44,2,2,5,2,28,
남부,금천구,서울독산초등학교,http://www.doksan.es.kr,공립,153-830,서울특별시 금천구 시흥대로104길 31   서울독산초등학교 (독산동),02-895-0535,7,6,5,6,6,5,0,3,156,86,132,64,123,65,135,58,140,62,127,70,0,0,14,2,21.8,60,49,59,49,1,0,6,4,40,
남부,구로구,서울동구로초등학교,http://www.dongguro.es.kr/doum/index.jsp,공립,152-846,서울특별시 구로구 구로중앙로 14  43 (구로동),02-853-2407,5,4,4,5,5,4,0,2,113,46,103,55,100,44,106,47,100,49,90,40,0,0,12,3,21.5,42,35,42,35,0,0,4,3,29,
남부,금천구,서울두산초등학교,http://www.doosan.es.kr,공립,153-829,서울특별시 금천구 범안로11길 3 (독산동두산초등학교),02-804-1112,5,5,5,5,4,5,0,2,111,59,112,68,111,58,125,61,94,43,109,62,0,0,14,4,21.8,54,44,51,42,3,2,6,2,31,
남부,구로구,서울매봉초등학교,http://www.maebong.es.kr,공립,152-802,서울특별시 구로구 고척로21길 55 (개봉동매봉초등학교),02-2683-3565,3,3,3,3,3,3,0,1,70,36,60,25,68,33,73,34,73,46,76,41,0,0,3,1,22.3,34,29,33,28,1,1,4,3,25,
남부,금천구,서울문교초등학교,http://www.mungyo.es.kr,공립,153-010,서울특별시 금천구 독산로54길 102 (독산동문교초등학교),02-896-0144,3,3,3,3,4,3,0,1,67,27,72,35,65,35,72,40,80,42,73,42,0,0,8,0,21.9,39,35,37,33,2,2,5,3,20,
남부,영등포구,서울문래초등학교,www.mullae.es.kr,공립,150-836,서울특별시 영등포구 문래로 104 (문래동3가문래초등학교),02-2677-6861,8,7,6,7,7,6,0,1,219,110,220,98,186,85,179,79,178,89,143,68,0,0,4,0,26.9,65,57,62,54,3,3,5,2,41,
남부,금천구,서울문백초등학교,http://www.munbaek.es.kr,공립,153-030,서울특별시 금천구 시흥대로47길 43-1 (시흥동문백초등학교),02-803-4155,6,5,5,5,5,4,0,1,149,62,117,48,108,51,129,64,118,60,102,45,0,0,6,1,23.5,52,43,52,43,0,0,4,3,30,
남부,금천구,서울문성초등학교,http://www.munsung.es.kr,공립,153-825,서울특별시 금천구 시흥대로 460 (독산동문성초등학교),02-867-1669,4,4,4,4,4,5,0,2,88,40,78,39,96,46,92,55,86,41,111,48,0,0,9,3,20.7,45,39,44,39,1,0,5,3,27,
남부,구로구,서울미래초등학교,http://www.mirae.es.kr,공립,152-838,서울특별시 구로구 새말로 73 (구로동미래초등학교),02-868-1981,5,5,5,4,4,4,0,0,140,68,126,67,100,48,91,44,107,60,93,48,0,0,0,0,24.3,45,36,42,33,3,3,5,3,27,
남부,금천구,서울백산초등학교,http://backsan.es.kr,공립,153-846,서울특별시 금천구 시흥대로38길 78  서울백산초등학교 (시흥동당직실),02-802-6475,4,4,4,3,4,4,0,0,78,34,79,35,82,35,79,42,98,56,86,30,0,0,0,0,21.8,41,30,41,30,0,0,4,3,26,
남부,영등포구,서울선유초등학교,http://www.seonyu.es.kr/,공립,150-103,서울특별시 영등포구 선유로43가길 14 (양평동3가서울선유초등학교),02-2068-7023,4,4,4,4,4,3,0,0,79,42,83,40,87,45,87,42,92,52,70,36,0,0,0,0,21.7,37,31,37,31,0,0,5,3,24,
남부,구로구,서울세곡초등학교,http://www.segok.es.kr,공립,152-834,서울특별시 구로구 고척로33길 34 (고척동세곡초등학교),02-2613-5275,5,4,4,5,7,6,0,2,92,51,80,33,69,41,104,56,132,66,117,57,0,0,13,6,18.4,54,50,52,48,2,2,5,2,39,
남부,금천구,서울시흥초등학교,http://www.seoulsiheung.es.kr/,공립,153-856,서울 금천구 독산로23길 26 (시흥동서울시흥초등학교),02-892-4127,5,5,5,7,6,5,0,1,133,66,126,62,118,57,170,80,156,79,129,65,0,0,6,2,24.6,56,49,56,49,0,0,5,3,39,
남부,구로구,서울신구로초등학교,http://www.singuro.es.kr,공립,152-842,서울특별시 구로구 가마산로27길 69 (구로동서울신구로초등학교),02-862-7192,5,4,4,5,5,5,0,0,104,48,107,50,103,53,121,59,100,44,106,54,0,0,0,0,22.9,48,42,48,42,0,0,4,3,28,
남부,영등포구,서울신대림초등학교,http://www.sdr.es.kr,공립,150-822,서울특별시 영등포구  대림로 8길 25,02-849-0737,3,3,3,3,3,3,0,0,54,25,56,36,54,22,55,27,69,33,53,23,0,0,0,0,18.9,33,30,33,30,0,0,5,2,18,
남부,구로구,서울신도림초등학교,http://www.sindorim.es.kr/,공립,152-888,서울특별시 구로구 신도림로 19길  44번지 (신도림동우성아파트),02-2677-2645,8,8,7,7,7,6,0,1,215,106,199,95,178,75,169,84,188,96,156,68,0,0,7,2,25.3,69,61,68,60,1,1,6,4,44,
남부,구로구,서울신미림초등학교,http://www.sinmirim.es.kr,공립,152-887,서울특별시 구로구 신도림로 26 (신도림동신미림초등학교),02-2676-8644,6,6,7,6,6,7,0,0,192,84,178,86,186,90,178,88,141,67,172,84,0,0,0,0,27.6,60,52,58,51,2,1,6,3,38,
남부,영등포구,서울신영초등학교,http://shinyoung.es.kr,공립,150-816,서울특별시 영등포구 도신로4길 32 (대림동신영초등학교),02-843-2964,5,5,4,6,5,5,0,2,126,58,126,61,105,52,135,68,118,54,109,55,0,0,5,2,22.6,53,46,53,46,0,0,5,3,33,
남부,금천구,서울신흥초등학교,http://www.sinheung.es.kr/,공립,153-030,서울특별시 금천구 독산로36나길 21 (시흥동신흥초등학교),02-894-5148,3,3,3,3,3,3,0,0,67,36,59,29,70,32,54,28,65,28,74,28,0,0,0,0,21.6,28,23,28,23,0,0,4,3,23,
남부,금천구,서울안천초등학교,http://anchun.es.kr,공립,153-833,서울특별시 금천구 한내로 69-16 (독산동안천초등학교),02-894-0858,3,3,3,3,4,3,0,0,63,27,70,27,76,30,75,40,80,42,83,43,0,0,0,0,23.5,36,30,35,29,1,1,5,4,20,
남부,영등포구,서울여의도초등학교,http://yeouido.es.kr,공립,150-888,서울특별시 영등포구 여의대방로 439  서울여의도초등학교 (여의도동여의도초등학교),02-786-7823,8,6,6,7,7,7,0,2,200,97,164,75,162,76,190,81,160,80,151,75,0,0,6,0,24,68,62,67,61,1,1,5,2,43,
남부,금천구,서울영남초등학교,http://www.seoulyeongnam.es.kr/,공립,153-805,서울특별시 금천구 문성로 62-15 (독산동서울영남초등학교),02-861-7147,3,3,3,3,3,3,0,2,78,43,53,29,58,29,55,33,59,29,62,33,0,0,9,0,18.7,39,35,38,34,1,1,6,2,30,
남부,영등포구,서울영동초등학교,http://www.youngdong.es.kr,공립,150-040,서울특별시 영등포구 국회대로53길 20 (당산동영동초등학교),02-2633-7450,5,3,4,4,3,3,0,2,107,48,76,34,87,39,81,39,58,26,64,28,0,0,8,5,20,43,37,42,36,1,1,5,3,28,
남부,영등포구,서울영등포초등학교,www.ydp.es.kr,공립,150-091,서울특별시 영등포구 경인로 756 (문래동1가),02-2633-6544,4,3,3,3,3,3,0,2,59,23,45,20,38,15,44,25,51,21,53,27,0,0,5,0,14,36,29,34,29,2,0,5,3,21,
남부,영등포구,서울영림초등학교,http://www.younglim.es.kr/,공립,150-823,서울특별시 영등포구 시흥대로173길 14 (대림동영림초등학교),02-834-3181,3,2,2,2,3,2,0,0,61,31,51,29,50,29,50,26,60,32,27,14,0,0,0,0,21.4,29,25,27,23,2,2,6,4,14,
남부,영등포구,서울영문초등학교,http://www.sym.es.kr,공립,150-096,서울특별시 영등포구 문래로 56 (문래동6가영문초등학교),02-2068-5355,7,7,7,7,6,6,0,0,211,111,197,99,183,89,191,96,159,76,171,80,0,0,0,0,27.8,62,52,62,52,0,0,5,2,41,
남부,구로구,서울영서초등학교,www.youngseo.es.kr,공립,152-847,서울특별시 구로구 도림로20길 57 (구로동영서초등학교),02-838-5212,7,6,6,6,5,5,0,2,204,92,173,92,152,72,160,80,130,68,114,48,0,0,10,2,25.5,59,50,58,49,1,1,5,3,38,
남부,영등포구,서울영신초등학교,http://www.youngsin.es.kr,공립,150-839,서울 영등포구 도신로60길 23 (신길동영신초등학교),02-848-8560,8,7,6,8,7,8,0,2,206,106,169,79,156,67,196,90,168,74,207,96,0,0,9,3,24.2,74,64,73,63,1,1,6,3,46,
남부,영등포구,서울영원초등학교,www.syw.es.kr,공립,150-832,서울특별시 영등포구 도영로 22길 31 (영등포동),02-835-9434,6,5,5,5,6,5,0,1,132,64,126,67,109,50,117,55,125,57,109,61,0,0,3,1,21.8,50,43,48,41,2,2,5,2,33,
남부,구로구,서울영일초등학교,http://www.syoungil.es.kr,공립,152-800,서울특별시 구로구 남부순환로105길 218 (가리봉동영일초등학교),02-861-0426,3,3,3,3,3,4,0,2,79,38,61,30,68,34,60,27,72,34,84,44,0,0,10,3,20.7,42,33,40,31,2,2,5,4,21,
남부,영등포구,서울영중초등학교,http://youngjoong.es.kr/,공립,150-037,서울특별시 영등포구 양산로 185 (영등포동7가영중초등학교),02-2633-9428,4,3,3,4,4,5,0,2,90,45,76,38,74,32,86,40,90,50,97,45,0,0,7,4,20.8,41,36,40,35,1,1,5,1,28,
남부,구로구,서울오류남초등학교,http://www.oryunam.es.kr,공립,152-901,서울특별시 구로구 서해안로 24길 22 (오류동대성그린빌라),02-2614-0686,8,6,6,6,7,8,0,2,209,97,157,67,162,69,159,71,188,86,179,82,0,0,14,4,24.8,63,56,63,56,0,0,5,3,43,
남부,구로구,서울오류초등학교,http://www.oryu.es.kr,공립,152-890,서울특별시 구로구 경인로19길 39 (오류동서울오류초등학교),02-2612-6412,5,6,6,6,6,6,0,2,138,74,140,70,139,61,147,68,151,78,151,74,0,0,9,2,23.6,57,52,55,51,2,1,5,2,37,
남부,구로구,서울오정초등학교,http://www.ojung.es.kr/,공립,152-895,서울특별시 구로구 경인로2길 10 (오류동오정초등학교),02-2686-3165,4,4,4,4,4,4,0,0,105,47,98,47,91,41,106,42,78,33,89,46,0,0,0,0,23.6,38,31,38,31,0,0,5,3,25,
남부,구로구,서울온수초등학교,http://www.onsu.es.kr,공립,152-905,서울특별시 구로구 부일로 893 (온수동온수초등학교),02-2684-4902,8,7,7,6,7,7,0,2,209,96,183,91,187,83,172,82,174,75,186,84,0,0,13,4,25.5,72,59,70,57,2,2,5,3,45,
남부,영등포구,서울우신초등학교,http://www.usin.es.kr,공립,150-841,서울특별시 영등포구 신길로 190 (신길동우신초등학교),02-834-2258,4,4,4,5,4,5,0,3,100,42,88,48,104,52,110,43,98,45,109,64,0,0,15,6,21.5,47,42,46,41,1,1,6,3,29,
남부,영등포구,서울윤중초등학교,http://www.yunjung.es.kr,공립,150-887,서울특별시 영등포구 여의나루로2길 14  서울윤중초등학교 (여의도동윤중초등학교),02-782-2042,4,4,4,3,3,2,0,0,79,37,96,45,78,39,54,24,69,32,49,27,0,0,0,0,21.3,35,29,34,29,1,0,5,4,23,
남부,금천구,서울정심초등학교,http://www.jungshim.es.kr,공립,153-808,서울특별시 금천구 독산로78다길 89 (독산동정심초등학교),02-856-5188,4,4,3,3,4,4,0,2,81,46,82,32,68,35,78,33,97,46,82,40,0,0,7,1,20.6,45,39,44,38,1,1,7,4,22,
남부,구로구,서울천왕초등학교,http://www.cheonwang.es.kr,공립,152-130,서울특별시 구로구 천왕로1길 11 (천왕동),02-3666-1363,9,7,7,5,5,5,0,2,207,112,165,85,169,85,131,68,131,79,113,58,0,0,10,4,23.2,55,45,54,44,1,1,5,1,38,
남부,금천구,서울탑동초등학교,http://www.topdong.es.kr,공립,153-842,서울특별시 금천구 탑골로 47-3 (시흥동탑동초등학교),02-894-6050,5,4,4,5,6,6,0,2,109,59,91,48,93,48,109,47,132,65,148,77,0,0,12,3,21.7,49,42,49,42,0,0,5,3,32,
남부,금천구,서울흥일초등학교,http://www.heungil.es.kr,공립,153-854,서울특별시 금천구 독산로50길 60 (시흥동흥일초등학교),02-803-5792,3,3,3,3,3,3,0,1,63,28,73,42,73,40,70,30,74,38,75,34,0,0,3,1,22.7,37,33,37,33,0,0,5,3,19,
남부,금천구,동광초등학교,http://www.dongke.es.kr,사립,153-030,서울특별시 금천구 탑골로10길 45 (시흥동),02-803-9805,3,3,3,3,3,2,0,0,90,45,102,51,81,43,72,38,60,33,57,28,0,0,0,0,27.2,22,16,20,14,2,2,4,1,0,
북부,도봉구,서울가인초등학교,http://www.seoulgain.es.kr,공립,132-906,서울특별시 도봉구 도봉로136다길 4 (창동가인초등학교),02-997-5826,5,4,4,4,5,5,0,1,116,55,99,42,91,39,102,49,123,68,118,54,0,0,4,3,23.3,42,33,42,33,0,0,5,3,29,
북부,노원구,서울계상초등학교,http://www.kyesang.or.kr/,공립,139-820,서울특별시 노원구 한글비석로41가길 24 (상계동계상초등학교),02-939-0872,6,5,5,6,6,8,0,0,140,76,128,74,126,58,144,70,159,71,192,104,0,0,0,0,24.7,57,45,56,44,1,1,5,3,36,
북부,노원구,서울공릉초등학교,http://www.gongrung.es.kr,공립,139-808,서울특별시 노원구 동일로173길 12 (공릉동서울공릉초등학교),02-949-0211,4,3,3,3,3,3,0,0,84,41,71,29,63,33,73,38,56,31,64,31,0,0,0,0,21.6,29,23,28,22,1,1,6,3,19,
